FW name,Country,Continent,Location,Ecosystem,Type,S,L,C,Lat,Long,Year of Pub,Ref,Commments,
Sarracenia,US/Canada,North America,"Along the east coast, north and central Canada",Pitcher Plant ,Aquatic,91,1834,0.221470837,45.22315,-84.434551,2012,Baiser et al 2012,"Approx, compiled food web across sites so I used a middle point near the great lakes",
Scotia Sea,Chile/Argentina/UK claimed region,Antarctica,Scotia-Weddell confluence region,Marine,Aquatic,56,178,0.056760204,-59,-39,1993,Hopkins et al 1993,"Approx, based on map in paper",
Skipwidth,UK,Europe,"Skipwidth Common National Nature Reserve, Yorkshire",Pond,Aquatic,37,380,0.277574872,53.666667,-0.983333,1989,Warren (1989),,
St Marks,US,North America,"St. Marks National Wildlife Refuge, Florida",Estuary,Aquatic,48,221,0.095920139,30.116667,-84.25,1999,Christian & Luczkovich (1999),,
St Martin,France/St. Maarten,Caribean/Antilles,St Martin Island,Island,Terrestrial,44,218,0.112603306,18.066667,-63.05,1993,Goldwasser & Roughgarden (1993),,
Stony Stream,New Zealand,Oceania,"tributaries of Taieri River, south NZ island",Stream,Aquatic,112,832,0.066326531,-46.6,169.92,1998,Townsend et al 1998,Approx based on proximity from Sutton (Townsend et al 1998),
Sutton Autumn,New Zealand,Oceania,"tributaries of Taieri River, south NZ island",Stream,Aquatic,80,335,0.05234375,-46.6,169.92,2003,Thompson & Townsend 2003,,
Sutton Spring,New Zealand,Oceania,"tributaries of Taieri River, south NZ island",Stream,Aquatic,74,391,0.071402484,-46.6,169.92,2003,Thompson & Townsend 2003,,
Sutton Summer,New Zealand,Oceania,"tributaries of Taieri River, south NZ island",Stream,Aquatic,86,423,0.057193077,-46.6,169.92,2003,Thompson & Townsend 2003,,
Troy,US,North America,Maine,Stream,Aquatic,76,177,0.030644044,44.666667,-69.116667,1998,Jarsma et a 1998,,
UK Grassland,UK,Europe,"Silwood Park, Berkshire",Grassland,Terrestrial,87,126,0.016646849,51.4,-0.57,2000,Memmott et al 2000,Coordinates for middle of estuary,
Venlaw,New Zealand,Oceania,"unnamed tributary of Mimihau stream, Southland, Southern NZ island",Stream,Aquatic,65,185,0.043786982,-46.35,169.08,2003,Thompson & Townsend 2003,,
Vilas,US,North America,"Villas County, Northern Wisconsin",Pond,Aquatic,77,958,0.161578681,46.057226,-89.518686,1997,Schneider 1997,"Approx, middle of the county",
Wet tropics,Australia,Oceania,"Wet tropics rivers, Queensland",River,Aquatic,62,211,0.054890739,-15.225584,144.388981,2010,Rayner et al 2010,"Approx, dased on description",
